ESTAB,School Name,District,Type,Phase,Year,Total Numbers on Roll,Nursery,Reception,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,1998,174,0,52,55,67,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,1999,204,42,54,50,58,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2000,215,52,55,57,51,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2001,217,52,56,53,56,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2002,219,51,59,55,54,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2003,194,31,53,56,54,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton And Bedworth,Infant,Primary,2004,191,49,41,47,54,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton And Bedworth,Infant,Primary,2005,177,42,50,37,48,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2006,177,39,54,48,36,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2007,169,34,44,50,41,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2008,179,25,56,44,54,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2009,201,50,59,48,44,0,0,0,0,0,0,0,0,0,0,0,0
3103,Abbey C.Of E. Infant School,Nuneaton and Bedworth,Infant,Primary,2010,183,31,58,55,39,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,1998,172,1,58,59,54,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,1999,176,0,59,57,60,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2000,179,0,59,61,59,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2001,180,0,60,59,61,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2002,180,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2003,167,0,49,57,61,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2004,157,0,50,50,56,1,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2005,153,0,51,53,49,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2006,165,0,60,52,53,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2007,148,0,37,54,57,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2008,143,0,48,38,57,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2009,122,0,38,47,37,0,0,0,0,0,0,0,0,0,0,0,0
2410,Abbots Farm Infant School,Rugby,Infant,Primary,2010,133,0,44,42,47,0,0,0,0,0,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,1998,250,0,0,0,0,50,66,65,68,1,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,1999,245,0,0,0,0,58,56,67,64,0,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,2000,254,0,0,0,0,66,61,60,67,0,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,2001,255,0,0,0,0,62,68,65,60,0,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,2002,262,0,0,0,0,68,66,66,62,0,0,0,0,0,0,0,0
2421,Abbots Farm Junior School,Rugby,Junior,Primary,2003,259,0,0,0,0,62,63,66,68,0,0,0,0,0,0,0,0
